system:index,class,.geo
1_1_1_2_22,2,"{""type"":""Point"",""coordinates"":[-45.92312165998082,-22.25912915669072]}"
1_1_1_2_23,2,"{""type"":""Point"",""coordinates"":[-45.926554887519885,-22.258890852689785]}"
1_1_1_2_24,2,"{""type"":""Point"",""coordinates"":[-45.927584855781596,-22.25901000474095]}"
1_1_1_2_25,2,"{""type"":""Point"",""coordinates"":[-45.92835733197789,-22.253648062040472]}"
1_1_1_2_26,2,"{""type"":""Point"",""coordinates"":[-45.92882940076451,-22.252655087154277]}"
1_1_1_2_27,2,"{""type"":""Point"",""coordinates"":[-45.930031030403185,-22.252575648859192]}"
1_1_1_2_28,2,"{""type"":""Point"",""coordinates"":[-45.95776937244117,-22.239813900683444]}"
1_1_1_2_29,2,"{""type"":""Point"",""coordinates"":[-45.95867059467018,-22.239655009482874]}"
1_1_1_2_30,2,"{""type"":""Point"",""coordinates"":[-45.946310975529556,-22.231034891858588]}"
1_1_1_2_31,2,"{""type"":""Point"",""coordinates"":[-45.94579599139868,-22.23202801998843]}"
1_1_1_2_32,2,"{""type"":""Point"",""coordinates"":[-45.93734166858375,-22.230597913252442]}"
1_1_1_2_33,2,"{""type"":""Point"",""coordinates"":[-45.93832872150123,-22.231432143954837]}"
1_1_1_2_34,2,"{""type"":""Point"",""coordinates"":[-45.93068979022682,-22.226545864940654]}"
1_1_1_2_35,2,"{""type"":""Point"",""coordinates"":[-45.9378566527146,-22.22523488306102]}"
1_1_1_2_36,2,"{""type"":""Point"",""coordinates"":[-45.92949846940377,-22.22770794690902]}"
1_1_1_2_37,2,"{""type"":""Point"",""coordinates"":[-45.93134382920601,-22.227628494469226]}"
1_1_1_2_38,2,"{""type"":""Point"",""coordinates"":[-45.93391874986031,-22.227310684259727]}"
1_1_1_2_39,2,"{""type"":""Point"",""coordinates"":[-45.934691226056586,-22.226277796103798]}"
1_1_1_2_40,2,"{""type"":""Point"",""coordinates"":[-45.93554953294136,-22.226913420484834]}"
1_1_1_2_41,2,"{""type"":""Point"",""coordinates"":[-45.9355924482856,-22.2272312315948]}"
1_1_1_2_42,2,"{""type"":""Point"",""coordinates"":[-45.9401843901191,-22.233229781164]}"
1_1_1_2_43,2,"{""type"":""Point"",""coordinates"":[-45.937609469464796,-22.23271335984211]}"
1_1_1_2_44,2,"{""type"":""Point"",""coordinates"":[-45.94112852769233,-22.23064765552862]}"
1_1_2_0,1,"{""type"":""Point"",""coordinates"":[-45.967589878161476,-22.221139420186013]}"
1_1_2_1,1,"{""type"":""Point"",""coordinates"":[-45.96999313743883,-22.222172346190227]}"
1_1_2_2,1,"{""type"":""Point"",""coordinates"":[-45.968276523669296,-22.22376144826448]}"
1_1_2_3,1,"{""type"":""Point"",""coordinates"":[-45.96192505272203,-22.222649078703213]}"
1_1_2_4,1,"{""type"":""Point"",""coordinates"":[-45.96003677757554,-22.223125809595597]}"
1_1_2_5,1,"{""type"":""Point"",""coordinates"":[-45.963384174426125,-22.227019051220193]}"
1_1_2_6,1,"{""type"":""Point"",""coordinates"":[-45.951539539416366,-22.22209289061384]}"
1_1_2_7,1,"{""type"":""Point"",""coordinates"":[-45.94922211082749,-22.21907354535571]}"
1_1_2_8,1,"{""type"":""Point"",""coordinates"":[-45.95119621666245,-22.224079266518487]}"
1_1_2_9,1,"{""type"":""Point"",""coordinates"":[-45.999261402209335,-22.231388887540987]}"
1_1_2_10,1,"{""type"":""Point"",""coordinates"":[-45.99951889427476,-22.216989429188335]}"
1_1_2_11,1,"{""type"":""Point"",""coordinates"":[-46.00338127525621,-22.21929370647073]}"
1_1_2_12,1,"{""type"":""Point"",""coordinates"":[-45.989301488877544,-22.262218086215263]}"
1_1_2_13,1,"{""type"":""Point"",""coordinates"":[-45.99033145713926,-22.26253581724041]}"
1_1_2_14,1,"{""type"":""Point"",""coordinates"":[-45.952823446275005,-22.274291358038052]}"
1_1_2_15,1,"{""type"":""Point"",""coordinates"":[-45.94921855735899,-22.276118143944306]}"
1_1_2_16,1,"{""type"":""Point"",""coordinates"":[-45.94947604942442,-22.27715066455492]}"
1_1_2_17,1,"{""type"":""Point"",""coordinates"":[-45.934198186875584,-22.292955220778598]}"
1_1_2_18,1,"{""type"":""Point"",""coordinates"":[-45.857465551377544,-22.306772815541365]}"
1_1_2_19,1,"{""type"":""Point"",""coordinates"":[-45.8576372127545,-22.307090445326743]}"
1_1_2_20,1,"{""type"":""Point"",""coordinates"":[-45.87284891595551,-22.341866534463648]}"
1_1_2_21,1,"{""type"":""Point"",""coordinates"":[-45.87387888421723,-22.33940549815065]}"
1_1_2_22,1,"{""type"":""Point"",""coordinates"":[-45.86160509576507,-22.336626856555476]}"
1_1_2_23,1,"{""type"":""Point"",""coordinates"":[-45.861605095765086,-22.338532216758725]}"
1_1_2_24,1,"{""type"":""Point"",""coordinates"":[-45.91507761468598,-22.343454276771464]}"
1_1_2_25,1,"{""type"":""Point"",""coordinates"":[-45.913361000916446,-22.34464507163485]}"
1_1_2_26,1,"{""type"":""Point"",""coordinates"":[-45.91645090570161,-22.34019938557878]}"
1_1_2_27,1,"{""type"":""Point"",""coordinates"":[-46.00126969646416,-22.30152380900774]}"
1_1_2_28,1,"{""type"":""Point"",""coordinates"":[-46.002728818168265,-22.30215909173035]}"
1_1_2_29,1,"{""type"":""Point"",""coordinates"":[-45.998265622367484,-22.300888523395983]}"
1_1_2_30,1,"{""type"":""Point"",""coordinates"":[-46.03344446021155,-22.30358846729249]}"
1_1_2_31,1,"{""type"":""Point"",""coordinates"":[-46.03095537024572,-22.300650290546756]}"
1_1_2_32,1,"{""type"":""Point"",""coordinates"":[-46.0347319205387,-22.300412057291236]}"
1_1_2_33,1,"{""type"":""Point"",""coordinates"":[-46.043486650763306,-22.294257557388647]}"
1_1_2_34,1,"{""type"":""Point"",""coordinates"":[-46.04464536505774,-22.295647306869046]}"
1_1_2_35,1,"{""type"":""Point"",""coordinates"":[-46.043572481451776,-22.297473813736616]}"
1_1_2_36,1,"{""type"":""Point"",""coordinates"":[-46.033687756433885,-22.283787869321813]}"
1_1_2_37,1,"{""type"":""Point"",""coordinates"":[-46.03338734902421,-22.28501888319452]}"
1_1_2_38,1,"{""type"":""Point"",""coordinates"":[-46.033344433679964,-22.28632930540634]}"
1_1_2_39,1,"{""type"":""Point"",""coordinates"":[-46.03385941781084,-22.288513315129137]}"
1_1_2_40,1,"{""type"":""Point"",""coordinates"":[-45.97077985902573,-22.2685831918033]}"
1_1_2_41,1,"{""type"":""Point"",""coordinates"":[-45.9702096030286,-22.265740555248566]}"
1_1_2_42,1,"{""type"":""Point"",""coordinates"":[-45.9699950263074,-22.264231361013632]}"
1_1_2_43,1,"{""type"":""Point"",""coordinates"":[-45.95587587805301,-22.25338851349618]}"
1_1_2_44,1,"{""type"":""Point"",""coordinates"":[-45.95707750769168,-22.253944577387426]}"
1_2_0,3,"{""type"":""Point"",""coordinates"":[-45.95615589140179,-22.215278980812787]}"
1_2_1,3,"{""type"":""Point"",""coordinates"":[-45.95752918241742,-22.215914655042713]}"
1_2_2,3,"{""type"":""Point"",""coordinates"":[-46.00473552238749,-22.276851360907365]}"
1_2_3,3,"{""type"":""Point"",""coordinates"":[-45.94964193933771,-22.28279359166267]}"
1_2_4,3,"{""type"":""Point"",""coordinates"":[-45.9507577382879,-22.28382606298617]}"
1_2_5,3,"{""type"":""Point"",""coordinates"":[-45.961229082282046,-22.297907026829513]}"
1_2_6,3,"{""type"":""Point"",""coordinates"":[-45.96285986536309,-22.300289383820793]}"
1_2_7,3,"{""type"":""Point"",""coordinates"":[-45.99084066980646,-22.28398545480262]}"
1_2_8,3,"{""type"":""Point"",""coordinates"":[-45.991956468756655,-22.275248928288715]}"
1_2_9,3,"{""type"":""Point"",""coordinates"":[-46.024400469000796,-22.293515588410994]}"
1_2_10,3,"{""type"":""Point"",""coordinates"":[-46.02697538965509,-22.293515588410994]}"
1_2_11,3,"{""type"":""Point"",""coordinates"":[-46.04165243738459,-22.295342123143183]}"
1_2_12,3,"{""type"":""Point"",""coordinates"":[-46.039335008795724,-22.29828041152725]}"
1_2_13,3,"{""type"":""Point"",""coordinates"":[-45.88406695347546,-22.224985082981394]}"
1_2_14,3,"{""type"":""Point"",""coordinates"":[-45.88200701695202,-22.229275531190343]}"
1_2_15,3,"{""type"":""Point"",""coordinates"":[-45.862265958602414,-22.240954419381204]}"
1_2_16,3,"{""type"":""Point"",""coordinates"":[-45.8753105769712,-22.171340182316932]}"
1_2_17,3,"{""type"":""Point"",""coordinates"":[-45.85968939166846,-22.170147912436246]}"
1_2_18,3,"{""type"":""Point"",""coordinates"":[-45.86329428058448,-22.145266908442668]}"
1_2_19,3,"{""type"":""Point"",""coordinates"":[-45.89466546776363,-22.134772642355777]}"
1_2_20,3,"{""type"":""Point"",""coordinates"":[-45.87569688561032,-22.12221029578474]}"
1_2_21,3,"{""type"":""Point"",""coordinates"":[-45.899729478383755,-22.12602682331088]}"
1_2_22,3,"{""type"":""Point"",""coordinates"":[-45.932147261575714,-22.13784735547694]}"
1_2_23,3,"{""type"":""Point"",""coordinates"":[-45.94064449973491,-22.138085865002093]}"
1_2_24,3,"{""type"":""Point"",""coordinates"":[-45.95489239402201,-22.14190196246795]}"
1_2_25,3,"{""type"":""Point"",""coordinates"":[-45.95798229880717,-22.149056866457144]}"
1_2_26,3,"{""type"":""Point"",""coordinates"":[-45.96313214011576,-22.147625914750535]}"
1_2_27,3,"{""type"":""Point"",""coordinates"":[-45.95575758254542,-22.16933986494088]}"
1_2_28,3,"{""type"":""Point"",""coordinates"":[-45.95223852431788,-22.16870397988322]}"
1_2_29,3,"{""type"":""Point"",""coordinates"":[-45.95060774123682,-22.19095824550011]}"
1_2_30,3,"{""type"":""Point"",""coordinates"":[-45.938914919156915,-22.206891723430076]}"
1_2_31,3,"{""type"":""Point"",""coordinates"":[-45.881887742052754,-22.186411716475845]}"
1_2_32,3,"{""type"":""Point"",""coordinates"":[-45.882059403429714,-22.18808069833475]}"
1_2_33,3,"{""type"":""Point"",""coordinates"":[-45.87570793248245,-22.173138631271122]}"
1_2_34,3,"{""type"":""Point"",""coordinates"":[-45.85270530797073,-22.156843609694047]}"
1_2_35,3,"{""type"":""Point"",""coordinates"":[-45.84764129735061,-22.156287160992935]}"
1_2_36,3,"{""type"":""Point"",""coordinates"":[-45.916991061208805,-22.145025568171167]}"
1_2_37,3,"{""type"":""Point"",""coordinates"":[-45.94622719741862,-22.147470182806856]}"
1_2_38,3,"{""type"":""Point"",""coordinates"":[-45.890480165253095,-22.12253344710761]}"
1_2_39,3,"{""type"":""Point"",""coordinates"":[-45.88846314407389,-22.12233466725643]}"
1_2_40,3,"{""type"":""Point"",""coordinates"":[-45.87636101699871,-22.120784174795823]}"
1_2_41,3,"{""type"":""Point"",""coordinates"":[-45.931107966751945,-22.211470085572675]}"
1_2_42,3,"{""type"":""Point"",""coordinates"":[-45.86979170810421,-22.262564107654143]}"
1_2_43,3,"{""type"":""Point"",""coordinates"":[-45.87172289859493,-22.26093572885535]}"
1_2_44,3,"{""type"":""Point"",""coordinates"":[-45.87198039066037,-22.264867635549358]}"
2_0,5,"{""type"":""Point"",""coordinates"":[-45.85667189015794,-22.153095484703183]}"
2_1,5,"{""type"":""Point"",""coordinates"":[-45.85744436635424,-22.152221041036498]}"
2_2,5,"{""type"":""Point"",""coordinates"":[-45.85791643514085,-22.149001451618016]}"
2_3,5,"{""type"":""Point"",""coordinates"":[-45.85911806477952,-22.148961703140284]}"
2_4,5,"{""type"":""Point"",""coordinates"":[-45.862808784384015,-22.15448663388376]}"
2_5,5,"{""type"":""Point"",""coordinates"":[-45.86237963094164,-22.155241823393908]}"
2_6,5,"{""type"":""Point"",""coordinates"":[-45.935971420930585,-22.190261749845746]}"
2_7,5,"{""type"":""Point"",""coordinates"":[-45.93476979129192,-22.19121543005537]}"
2_8,5,"{""type"":""Point"",""coordinates"":[-45.937001389192304,-22.19121543005537]}"
2_9,5,"{""type"":""Point"",""coordinates"":[-45.8798800431372,-22.2587608657596]}"
2_10,5,"{""type"":""Point"",""coordinates"":[-45.882111641037596,-22.259833231564883]}"
2_11,5,"{""type"":""Point"",""coordinates"":[-45.88344201670898,-22.261064456247485]}"
2_12,5,"{""type"":""Point"",""coordinates"":[-45.88254079447997,-22.26233538649567]}"
2_13,5,"{""type"":""Point"",""coordinates"":[-45.88108167277588,-22.26058785442924]}"
2_14,5,"{""type"":""Point"",""coordinates"":[-45.87249860392822,-22.269325296560343]}"
2_15,5,"{""type"":""Point"",""coordinates"":[-45.87335691081299,-22.270993291676632]}"
2_16,5,"{""type"":""Point"",""coordinates"":[-45.87378606425537,-22.271549285629582]}"
2_17,5,"{""type"":""Point"",""coordinates"":[-45.9402156151093,-22.27607343457679]}"
2_18,5,"{""type"":""Point"",""coordinates"":[-45.93849900133978,-22.278932704662466]}"
2_19,5,"{""type"":""Point"",""coordinates"":[-45.95549347765814,-22.284809909581426]}"
2_20,5,"{""type"":""Point"",""coordinates"":[-45.93978646166693,-22.332930152226393]}"
2_21,5,"{""type"":""Point"",""coordinates"":[-45.93970063097845,-22.334756171344864]}"
2_22,5,"{""type"":""Point"",""coordinates"":[-45.92330696947943,-22.340710415411234]}"
2_23,5,"{""type"":""Point"",""coordinates"":[-45.95360520251165,-22.344838542032576]}"
2_24,5,"{""type"":""Point"",""coordinates"":[-45.95266106493841,-22.344838542032576]}"
2_25,5,"{""type"":""Point"",""coordinates"":[-45.96413672664411,-22.239013587201214]}"
2_26,5,"{""type"":""Point"",""coordinates"":[-45.96490920284039,-22.23901358720121]}"
2_27,5,"{""type"":""Point"",""coordinates"":[-45.917005404535175,-22.214557177439183]}"
2_28,5,"{""type"":""Point"",""coordinates"":[-45.917091235223644,-22.21479555683938]}"
2_29,5,"{""type"":""Point"",""coordinates"":[-45.91683433611269,-22.21449955455745]}"
2_30,5,"{""type"":""Point"",""coordinates"":[-45.91676728088733,-22.21421647837738]}"
2_31,5,"{""type"":""Point"",""coordinates"":[-45.91582314331408,-22.21610364212247]}"
2_32,5,"{""type"":""Point"",""coordinates"":[-45.91557638008471,-22.216113574496077]}"
2_33,5,"{""type"":""Point"",""coordinates"":[-45.915608566592894,-22.21634201889497]}"
2_34,5,"{""type"":""Point"",""coordinates"":[-45.898870410159034,-22.234368403371708]}"
2_35,5,"{""type"":""Point"",""coordinates"":[-45.899149359896576,-22.234308816877252]}"
2_36,5,"{""type"":""Point"",""coordinates"":[-45.89890259666721,-22.234547162703038]}"
2_37,5,"{""type"":""Point"",""coordinates"":[-45.898580731585426,-22.234338610127658]}"
2_38,5,"{""type"":""Point"",""coordinates"":[-45.89854854507725,-22.234547162703038]}"
2_39,5,"{""type"":""Point"",""coordinates"":[-45.86663942167952,-22.300905417592226]}"
2_40,5,"{""type"":""Point"",""coordinates"":[-45.86663942167952,-22.300230423545823]}"
2_41,5,"{""type"":""Point"",""coordinates"":[-45.86670379469587,-22.300051748105265]}"
2_42,5,"{""type"":""Point"",""coordinates"":[-45.85529351075125,-22.297954287135198]}"
2_43,5,"{""type"":""Point"",""coordinates"":[-45.96364129810016,-22.24670328908512]}"
2_44,5,"{""type"":""Point"",""coordinates"":[-45.96355546741167,-22.246455033713495]}"
